display  D   display_settings.c:191  debug_display_settings           [   0.21456] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.21459] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21461] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.21463] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21465] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.21468] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21470] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.21473] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21475] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.21477] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21480] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.21482] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21484] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.21487] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21489] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.21492] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21494] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.21497] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21499] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.21502] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21504] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.21506] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21509] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.21511] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21513] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.21516] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21518] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.21521] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.21523] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.21525] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.21527] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.21530] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.21532] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.21535] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.21537] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.21539] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.21541] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.21544] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.21546] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.21548] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.21551] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21553] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.21555] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21558] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.21560] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21562] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.21564] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21568] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.21570] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21573] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.21575] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21577] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.21579] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21582] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.21584] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21586] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.21589] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21591] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.21593] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21596] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.21598] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21600] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.21602] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21605] Score is : 609
